Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00512-2019,Unknown,Narromine,Lower Macquarie Groundwater Source ,Jun-19,Aug-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00512-2020,Crop / horticulture,Narrabri,Gwydir Unregulated and Alluvial Water Sources ,Mar-20,Aug-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00513-2016,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Nov-16,Jan-19,91E - Carrying out controlled activity,No breach – other
00513-2018,,Greater Taree,Lower North Coast Unregulated and Alluvial Water Sources ,Jul-18,Aug-18,91E - Carrying out controlled activity,No breach – other
00513-2020,Crop / horticulture,Narrabri,Gwydir Unregulated and Alluvial Water Sources ,Mar-20,Aug-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00514-2017,Crop / horticulture,Bourke,Intersecting Streams Unregulated and Alluvial Water Sources ,Dec-17,Jun-18,"60B - Contravention of terms and conditions of access licence, 91G - Contravention of terms and conditions of approval, 91K - Meter tampering",Breach – enforcement response completed
00514-2018,Crop / horticulture,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Jul-18,Aug-18, ,Breach – enforcement response completed
00514-2019,Development,Ku-Ring-Gai,Greater Metropolitan Region Unregulated River Water Sources ,Jun-19,Nov-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – referred to another agency
00514-2020,Development,Yass Valley,Murrumbidgee Unregulated and Alluvial Water Sources ,Feb-20,May-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00515-2018,Individual,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jul-18,Aug-18,346 - Unauthorised bore drilling,No breach – other
00515-2020,Crop / horticulture,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Mar-20,Aug-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00516-2018,Development,Orange,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jul-18,Nov-18,91B - Constructing or using water supply work,Duplicate Entry - refer to linked notification
00516-2019,Development,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-19,Aug-19,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00516-2020,Crop / horticulture,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Mar-20,Jul-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00517-2017,,Wentworth,Lower Murray-Darling Unregulated and Alluvial Water Sources ,Dec-17,Feb-19,91E - Carrying out controlled activity,No breach – other
00517-2018,Individual,Orange,Greater Metropolitan Region Unregulated River Water Sources ,Jul-18,Nov-18,91B - Constructing or using water supply work,No breach – referred to another agency
00517-2019,Unknown,Narromine,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jun-19,Sep-20,60B(1) and (2)-tier 2 - Taking water with an access licence-but not in accordance with the terms or conditions of the access licence,Breach – enforcement response completed
00518-2017,,Port Stephens,Hunter Unregulated and Alluvial Water Sources ,Dec-17,Sep-18,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00518-2020,Development,Yass Valley,Murrumbidgee Unregulated and Alluvial Water Sources ,Mar-20,Jul-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – exempt
00519-2016,,Dubbo Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Nov-16,Oct-18,"336C - Contravene certain directions, 91E - Carrying out controlled activity",Breach – enforcement response completed
00519-2018,Extractive,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Jul-18,Dec-18,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00519-2019,Crop / horticulture,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,May-19,Sep-20,"91G(1), (2)-tier 2 - Constructing or using a flood work with a flood work approval but not in accordance with the terms or conditions of the approval",Medium priority – potential M&A audit
00519-2020,Crop / horticulture,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Mar-20,Dec-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach - insufficient evidence
00520-2017,,Wollongong,Greater Metropolitan Region Unregulated River Water Sources ,Dec-17,Aug-18,91E - Carrying out controlled activity,No breach – referred to another agency
00520-2018,Animal,Campbelltown,Greater Metropolitan Region Unregulated River Water Sources ,Jul-18,Aug-18, ,No breach – referred to another agency
00520-2019,Unknown,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jul-19,May-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00520-2020,Crop / horticulture,Griffith,Murrumbidgee Unregulated and Alluvial Water Sources ,Feb-20,Apr-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – referred to another agency
00521-2017,,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-17,Oct-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00521-2019,Development,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jul-19,May-20,"91D(1)-tier 2 - Constructing or using a flood work without a flood work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00522-2017,,Kempsey,Macleay Unregulated and Alluvial Water Source ,Dec-17,Sep-18,91E - Carrying out controlled activity,No breach – referred to another agency
00522-2018,Unknown,Greater Taree,Lower North Coast Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,91E - Carrying out controlled activity,No breach – other
00522-2019,Residential,Tamworth Regional,Lower North Coast Unregulated and Alluvial Water Sources ,Jun-19,Dec-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 60A(1)-tier 1 - Taking water without an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A(1)-tier 2 - Using water without a water use approval, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00522-2020,Crop / horticulture,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Mar-20,Dec-20,336C(1)-tier 2 - Failure of a person to comply with a direction under Part 1 of Chapter 7 of the WM Act,No breach – exempt
00523-2017,,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Dec-17,Jun-18,91G - Contravention of terms and conditions of approval,Breach – enforcement response completed
00523-2018,,Singleton,Hunter Unregulated and Alluvial Water Sources ,Jul-18,Mar-19,91B - Constructing or using water supply work,No breach – other
00523-2019,Development,Wagga Wagga,Murrumbidgee Unregulated and Alluvial Water Sources ,Jun-19,Sep-19,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – other
00523-2020,Crop / horticulture,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Mar-20,Dec-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00524-2017,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Dec-17,Aug-18,60D - Taking water otherwise than from a nominated water supply work,Breach – enforcement response completed
00524-2018,,Central Coast,Central Coast Unregulated Water Sources ,Jul-18,Mar-19,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00524-2019,Animal,Walgett,Namoi Unregulated and Alluvial Water Sources ,Jul-19,Aug-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Breach – enforcement response completed
00524-2020,Development,Greater Hume,Lower North Coast Unregulated and Alluvial Water Sources ,Mar-20,Mar-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority
00525-2018,Unknown,Upper Hunter,Lachlan Unregulated and Alluvial Water Sources ,Aug-18,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00525-2020,Crop / horticulture,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Mar-20,May-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00526-2014,Unknown,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Oct-14,Jun-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00526-2017,,Kempsey,Draft Hastings Unregulated and Alluvial Water Sources ,Dec-17,Jul-18,91B - Constructing or using water supply work,No breach – other
00526-2018,Unknown,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Aug-18,Sep-19,91H - Failure to install or maintain metering equipment,No breach – other
00526-2019,Development,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Jul-19,Jan-20,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00526-2020,Crop / horticulture,Narrabri,Namoi Unregulated and Alluvial Water Sources ,Mar-20,Aug-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00527-2017,Unknown,Great Lakes,Lower North Coast Unregulated and Alluvial Water Sources ,Dec-17,Jun-18,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – referred to another agency
00527-2018,Individual,Canterbury-Bankstown,Greater Metropolitan Region Unregulated River Water Sources ,Aug-18,Jul-19,91E - Carrying out controlled activity,No breach – referred to another agency
00527-2019,Development,Byron,Brunswick Unregulated and Alluvial Water Sources ,Jul-19,Sep-19,"345(1)-tier 1 - Causing harm to aquifers or waterfront land, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Low priority
00527-2020,Development,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Mar-20,Dec-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended)",No breach – exempt
00528-2017,,The Hills Shire,Greater Metropolitan Region Unregulated River Water Sources ,Dec-17,Aug-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00528-2018,Unknown,Bellingen,Bellinger River Area Unregulated and Alluvial Water Sources ,Aug-18,Aug-18,91E - Carrying out controlled activity,Breach – enforcement response completed
